Company,Value
Company A,0.3912
Company A,0.3845
Company A,0.3788
Company A,0.3926
Company A,0.3832
Company A,0.3953
Company A,0.3712
Company A,0.3613
Company A,0.3789
Company A,0.3979
Company A,0.3606
Company A,0.375
Company A,0.4115
Company A,0.376
Company A,0.3835
Company A,0.3556
Company A,0.3889
Company A,0.3731
Company A,0.3944
Company A,0.3677
Company A,0.3916
Company A,0.362
Company A,0.3857
Company A,0.3798
Company A,0.3812
Company A,0.4058
Company A,0.3571
Company A,0.3825
Company A,0.3496
Company A,0.3704
Company A,0.3805
Company A,0.3427
Company A,0.3902
Company A,0.3794
Company A,0.3947
Company A,0.4178
Company A,0.3856
Company A,0.3678
Company A,0.4015
Company A,0.3857
Company A,0.3796
Company A,0.3896
Company A,0.4184
Company A,0.3745
Company A,0.3697
Company A,0.3806
Company A,0.415
Company A,0.3839
Company A,0.4086
Company A,0.3761
Company A,0.3786
Company A,0.4072
Company A,0.39
Company A,0.3743
Company A,0.4224
Company A,0.39
Company A,0.3758
Company A,0.4095
Company A,0.3989
Company A,0.3845
Company A,0.4158
Company A,0.378
Company A,0.3883
Company A,0.3683
Company A,0.3641
Company A,0.3629
Company A,0.3857
Company A,0.3822
Company A,0.4216
Company A,0.368
Company A,0.3866
Company A,0.375
Company A,0.3622
Company A,0.3734
Company A,0.3599
Company A,0.3582
Company A,0.4
Company A,0.4042
Company A,0.3939
Company A,0.3613
Company A,0.392
Company A,0.3999
Company A,0.3768
Company A,0.378
Company A,0.3544
Company A,0.3875
Company A,0.3573
Company A,0.3787
Company A,0.3903
Company A,0.3903
Company A,0.3441
Company A,0.3947
Company A,0.359
Company A,0.353
Company A,0.382
Company A,0.3852
Company A,0.4105
Company A,0.3804
Company A,0.3803
Company A,0.3813
Company A,0.3804
Company A,0.3916
Company A,0.3614
Company A,0.4191
Company A,0.387
Company A,0.3686
Company A,0.3273
Company A,0.3462
Company A,0.3615
Company A,0.3873
Company A,0.3664
Company A,0.3707
Company A,0.3719
Company A,0.396
Company A,0.389
Company A,0.379
Company A,0.3808
Company A,0.3418
Company A,0.3916
Company A,0.3805
Company A,0.4246
Company A,0.3828
Company A,0.3902
Company A,0.3864
Company A,0.4082
Company A,0.3643
Company A,0.3858
Company A,0.3609
Company A,0.3831
Company A,0.3654
Company A,0.353
Company A,0.4125
Company A,0.3557
Company A,0.3812
Company A,0.3979
Company A,0.3455
Company A,0.3793
Company A,0.3736
Company A,0.3891
Company A,0.3773
Company A,0.3675
Company A,0.3696
Company A,0.3676
Company A,0.3921
Company A,0.3848
Company A,0.4035
Company A,0.4068
Company A,0.4072
Company A,0.3983
Company A,0.374
Company A,0.3932
Company A,0.3939
Company A,0.3838
Company A,0.3908
Company A,0.4057
Company A,0.3739
Company A,0.3891
Company A,0.4313
Company A,0.3229
Company A,0.4043
Company A,0.3754
Company A,0.3782
Company A,0.3615
Company A,0.3685
Company A,0.3664
Company A,0.3708
Company A,0.3742
Company A,0.4081
Company A,0.3785
Company A,0.3769
Company A,0.4028
Company A,0.4138
Company A,0.3568
Company A,0.4017
Company A,0.3811
Company A,0.4047
Company A,0.3863
Company A,0.3793
Company A,0.3582
Company A,0.3807
Company A,0.3888
Company A,0.3648
Company A,0.3845
Company A,0.4059
Company A,0.3964
Company A,0.3865
Company A,0.336
Company A,0.3894
Company A,0.3861
Company A,0.4165
Company A,0.3914
Company A,0.3949
Company A,0.3625
Company A,0.3819
Company A,0.4189
Company A,0.3402
Company A,0.378
Company A,0.3653
Company A,0.3912
Company A,0.3741
Company A,0.4263
Company A,0.3586
Company A,0.409
Company A,0.4004
Company A,0.3839
Company A,0.4005
Company A,0.3823
Company A,0.3622
Company A,0.3943
Company A,0.3918
Company A,0.3884
Company A,0.3968
Company A,0.4168
Company A,0.3989
Company A,0.4296
Company A,0.3779
Company A,0.3828
Company A,0.3725
Company A,0.3976
Company A,0.3996
Company A,0.3923
Company A,0.3763
Company A,0.3642
Company A,0.3792
Company A,0.4127
Company A,0.3841
Company A,0.3838
Company A,0.4314
Company A,0.3874
Company A,0.3803
Company A,0.4009
Company A,0.3887
Company A,0.3434
Company A,0.4081
Company A,0.4034
Company A,0.3594
Company A,0.4015
Company A,0.3807
Company A,0.3878
Company A,0.3685
Company A,0.378
Company A,0.3579
Company A,0.377
Company A,0.3833
Company A,0.391
Company A,0.3999
Company A,0.3792
Company A,0.4137
Company A,0.4011
Company A,0.3973
Company A,0.3816
Company A,0.3261
Company A,0.3418
Company A,0.3704
Company A,0.3901
Company A,0.3646
Company A,0.3812
Company A,0.3998
Company A,0.3848
Company A,0.3999
Company A,0.3998
Company A,0.4184
Company A,0.4007
Company A,0.3667
Company A,0.3957
Company A,0.3461
Company A,0.3575
Company A,0.3729
Company A,0.3897
Company A,0.3746
Company A,0.3363
Company A,0.4028
Company A,0.3671
Company A,0.3797
Company A,0.3857
Company A,0.3576
Company A,0.3871
Company A,0.4107
Company A,0.3762
Company A,0.3913
Company A,0.392
Company A,0.3666
Company A,0.3804
Company A,0.3748
Company A,0.4103
Company A,0.389
Company A,0.3774
Company A,0.3367
Company A,0.4074
Company A,0.4241
Company A,0.399
Company A,0.3935
Company A,0.3692
Company A,0.3989
Company A,0.3888
Company A,0.3714
Company A,0.3974
Company A,0.4035
Company A,0.3643
Company A,0.3951
Company A,0.3621
Company A,0.3783
Company A,0.3747
Company A,0.3803
Company A,0.3662
Company A,0.3801
Company A,0.3352
Company A,0.3594
Company A,0.4016
Company A,0.4063
Company A,0.3706
Company A,0.3783
Company A,0.394
Company A,0.3762
Company A,0.3853
Company A,0.3865
Company A,0.4152
Company A,0.3927
Company A,0.3637
Company A,0.4002
Company A,0.373
Company A,0.3555
Company A,0.386
Company A,0.3862
Company A,0.3992
Company A,0.4147
Company A,0.3605
Company A,0.4011
Company A,0.3927
Company A,0.3896
Company A,0.4169
Company A,0.3447
Company A,0.4021
Company A,0.4044
Company A,0.3974
Company A,0.3641
Company A,0.4117
